12001,"来能说。	2017/12/2 9:24","柠檬树。	2017/12/2 9:24","给我唱一首。	2017/12/2 9:25"
12002,"呵呵呵呵呵。	2017/10/26 19:14","我要听刘德华的歌。	2017/10/26 19:14","来个笑话。	2017/10/26 19:25"
12003,"放个歌曲。	2017/11/29 12:00","我想听歌。	2017/11/29 12:01","放个dj。	2017/11/29 16:09"
12004,"小宝宝不听话老是哭怎么办呀？	2017/12/14 19:35","说故事。	2017/12/14 19:36","欢快的音乐。	2017/12/14 19:43"
12005,"检查网络连接是否正常，你叫什么名字呀，剪个笑话呗。	2017/11/29 14:06","萨瓦迪卡。	2017/11/29 14:06","不浪漫的罪名。	2017/11/29 14:09"
12006,"我是一个女生。	2017/12/26 19:38","我的性别是女，你呢？	2017/12/26 19:38","我是什么性别。	2017/12/26 19:38"
12007,"现在要给年纪大就更好了。	2017/10/26 8:51","傻瓜的傻瓜现在的人基本上都在等别人100分更好了，系呢？	2017/10/26 8:51","买好票喽，连坐台了，开始学吉他。	2017/10/26 8:52"
12008,"免得交易可靠。	2017/10/26 12:53","你可真敢。	2017/10/26 12:53","太傻。	2017/10/26 12:54"
12009,"打开本地音乐。	2017/10/26 18:58","关闭音乐，如果声音。	2017/10/26 18:58","被音乐。	2017/10/26 18:59"
12010,"世上只有妈妈好。	2017/10/26 20:01","我们是共产主义接班人。	2017/10/26 20:02","笑肚痛。	2017/10/26 20:03"
12011,"低碳贝贝。	2017/11/4 20:39","讲故事。	2017/11/4 20:41","今天你去看你有没有脑子呀。	2017/12/31 11:27"
12012,"菲菲你没有回答。	2017/12/25 19:26","我要学习。	2017/12/25 19:26","但是我不爱学习呀。	2017/12/25 19:27"
12013,"这有什么新闻的音量在哪。	2017/11/15 15:50","这一点和。	2017/11/15 15:50","不是我要把你关关机怎么关啊？	2017/11/15 15:50"
12014,"手指没。	2017/12/27 17:29","来个咪咪猫。	2017/12/29 11:55","你看你有我牙不舒服。	2017/12/30 15:05"
12015,"家里还剩和，那我今天收到这消息我可以和一群人聊了一下，他感觉叫淼。	2017/10/26 16:56","他送到剩。	2017/10/26 16:56","阿悄。	2017/10/26 16:56"
12016,"导航太原万水。	2017/10/26 10:03","导航太原万水。	2017/10/26 10:05","点歌小虎队的歌。	2017/10/26 13:31"
12017,"说话说话，你们那叫什么名字。	2017/12/27 16:56","你叫什么名字。	2017/12/27 17:00","我是你的小主人我可爱不可爱。	2017/12/27 17:01"
12018,"放一首歌听听。	2017/10/26 15:52","放一首歌。	2017/10/26 16:42","给我放首歌听。	2017/10/26 16:43"
12019,"把音量放。	2017/10/26 5:34","音量小一点。	2017/10/26 8:01","呃，声音唱歌声音大一点。	2017/10/26 10:34"
12020,"音乐。	2017/11/29 13:11","音乐。	2017/11/29 17:55","音乐。	2017/11/29 19:39"
12021,"打开电子狗。	2017/11/29 23:48","FM。	2017/11/29 23:49","听懂了。	2017/11/29 23:49"
12022,"绕梁。	2017/10/26 9:23","高松。	2017/10/26 9:24","多亮。	2017/10/26 9:29"
12023,"播放小苹果。	2017/11/11 18:03","大家犹豫。	2017/11/30 4:49","小苹果。	2017/11/30 4:50"
12024,"演唱孙露的再度重相逢。	2017/12/16 21:54","来。	2017/12/16 21:57","请你唱一首冬天里的一把火让我听听。	2017/12/16 22:08"
12025,"我要到田尾圆圈速八酒店。	2017/11/29 1:48","我要到田尾圆圈。	2017/11/29 1:48","味道片尾曲。	2017/11/29 1:49"
